😀	grinning face	1f600
🧑🏿‍🫯‍🧑🏼	people wrestling: dark skin tone, medium-light skin tone	1f9d1-1f3ff-200d-1faef-200d-1f9d1-1f3fc
🧑🏿‍🫯‍🧑🏽	people wrestling: dark skin tone, medium skin tone	1f9d1-1f3ff-200d-1faef-200d-1f9d1-1f3fd
🧑🏿‍🫯‍🧑🏾	people wrestling: dark skin tone, medium-dark skin tone	1f9d1-1f3ff-200d-1faef-200d-1f9d1-1f3fe
👨🏻‍🫯‍👨🏼	men wrestling: light skin tone, medium-light skin tone	1f468-1f3fb-200d-1faef-200d-1f468-1f3fc
👨🏻‍🫯‍👨🏽	men wrestling: light skin tone, medium skin tone	1f468-1f3fb-200d-1faef-200d-1f468-1f3fd
👨🏻‍🫯‍👨🏾	men wrestling: light skin tone, medium-dark skin tone	1f468-1f3fb-200d-1faef-200d-1f468-1f3fe
👨🏻‍🫯‍👨🏿	men wrestling: light skin tone, dark skin tone	1f468-1f3fb-200d-1faef-200d-1f468-1f3ff
👨🏼‍🫯‍👨🏻	men wrestling: medium-light skin tone, light skin tone	1f468-1f3fc-200d-1faef-200d-1f468-1f3fb
👨🏼‍🫯‍👨🏽	men wrestling: medium-light skin tone, medium skin tone	1f468-1f3fc-200d-1faef-200d-1f468-1f3fd
👨🏼‍🫯‍👨🏾	men wrestling: medium-light skin tone, medium-dark skin tone	1f468-1f3fc-200d-1faef-200d-1f468-1f3fe
👨🏼‍🫯‍👨🏿	men wrestling: medium-light skin tone, dark skin tone	1f468-1f3fc-200d-1faef-200d-1f468-1f3ff
👨🏽‍🫯‍👨🏻	men wrestling: medium skin tone, light skin tone	1f468-1f3fd-200d-1faef-200d-1f468-1f3fb
👨🏽‍🫯‍👨🏼	men wrestling: medium skin tone, medium-light skin tone	1f468-1f3fd-200d-1faef-200d-1f468-1f3fc
👨🏽‍🫯‍👨🏾	men wrestling: medium skin tone, medium-dark skin tone	1f468-1f3fd-200d-1faef-200d-1f468-1f3fe
👨🏽‍🫯‍👨🏿	men wrestling: medium skin tone, dark skin tone	1f468-1f3fd-200d-1faef-200d-1f468-1f3ff
👨🏾‍🫯‍👨🏻	men wrestling: medium-dark skin tone, light skin tone	1f468-1f3fe-200d-1faef-200d-1f468-1f3fb
👨🏾‍🫯‍👨🏼	men wrestling: medium-dark skin tone, medium-light skin tone	1f468-1f3fe-200d-1faef-200d-1f468-1f3fc
👨🏾‍🫯‍👨🏽	men wrestling: medium-dark skin tone, medium skin tone	1f468-1f3fe-200d-1faef-200d-1f468-1f3fd
👨🏾‍🫯‍👨🏿	men wrestling: medium-dark skin tone, dark skin tone	1f468-1f3fe-200d-1faef-200d-1f468-1f3ff
👨🏿‍🫯‍👨🏻	men wrestling: dark skin tone, light skin tone	1f468-1f3ff-200d-1faef-200d-1f468-1f3fb
👨🏿‍🫯‍👨🏼	men wrestling: dark skin tone, medium-light skin tone	1f468-1f3ff-200d-1faef-200d-1f468-1f3fc
👨🏿‍🫯‍👨🏽	men wrestling: dark skin tone, medium skin tone	1f468-1f3ff-200d-1faef-200d-1f468-1f3fd
👨🏿‍🫯‍👨🏾	men wrestling: dark skin tone, medium-dark skin tone	1f468-1f3ff-200d-1faef-200d-1f468-1f3fe
👩🏻‍🫯‍👩🏼	women wrestling: light skin tone, medium-light skin tone	1f469-1f3fb-200d-1faef-200d-1f469-1f3fc
👩🏻‍🫯‍👩🏽	women wrestling: light skin tone, medium skin tone	1f469-1f3fb-200d-1faef-200d-1f469-1f3fd
👩🏻‍🫯‍👩🏾	women wrestling: light skin tone, medium-dark skin tone	1f469-1f3fb-200d-1faef-200d-1f469-1f3fe
👩🏻‍🫯‍👩🏿	women wrestling: light skin tone, dark skin tone	1f469-1f3fb-200d-1faef-200d-1f469-1f3ff
👩🏼‍🫯‍👩🏻	women wrestling: medium-light skin tone, light skin tone	1f469-1f3fc-200d-1faef-200d-1f469-1f3fb
👩🏼‍🫯‍👩🏽	women wrestling: medium-light skin tone, medium skin tone	1f469-1f3fc-200d-1faef-200d-1f469-1f3fd
👩🏼‍🫯‍👩🏾	women wrestling: medium-light skin tone, medium-dark skin tone	1f469-1f3fc-200d-1faef-200d-1f469-1f3fe
👩🏼‍🫯‍👩🏿	women wrestling: medium-light skin tone, dark skin tone	1f469-1f3fc-200d-1faef-200d-1f469-1f3ff
👩🏽‍🫯‍👩🏻	women wrestling: medium skin tone, light skin tone	1f469-1f3fd-200d-1faef-200d-1f469-1f3fb
👩🏽‍🫯‍👩🏼	women wrestling: medium skin tone, medium-light skin tone	1f469-1f3fd-200d-1faef-200d-1f469-1f3fc
👩🏽‍🫯‍👩🏾	women wrestling: medium skin tone, medium-dark skin tone	1f469-1f3fd-200d-1faef-200d-1f469-1f3fe
👩🏽‍🫯‍👩🏿	women wrestling: medium skin tone, dark skin tone	1f469-1f3fd-200d-1faef-200d-1f469-1f3ff
👩🏾‍🫯‍👩🏻	women wrestling: medium-dark skin tone, light skin tone	1f469-1f3fe-200d-1faef-200d-1f469-1f3fb
👩🏾‍🫯‍👩🏼	women wrestling: medium-dark skin tone, medium-light skin tone	1f469-1f3fe-200d-1faef-200d-1f469-1f3fc
👩🏾‍🫯‍👩🏽	women wrestling: medium-dark skin tone, medium skin tone	1f469-1f3fe-200d-1faef-200d-1f469-1f3fd
👩🏾‍🫯‍👩🏿	women wrestling: medium-dark skin tone, dark skin tone	1f469-1f3fe-200d-1faef-200d-1f469-1f3ff
👩🏿‍🫯‍👩🏻	women wrestling: dark skin tone, light skin tone	1f469-1f3ff-200d-1faef-200d-1f469-1f3fb
👩🏿‍🫯‍👩🏼	women wrestling: dark skin tone, medium-light skin tone	1f469-1f3ff-200d-1faef-200d-1f469-1f3fc
👩🏿‍🫯‍👩🏽	women wrestling: dark skin tone, medium skin tone	1f469-1f3ff-200d-1faef-200d-1f469-1f3fd
👩🏿‍🫯‍👩🏾	women wrestling: dark skin tone, medium-dark skin tone	1f469-1f3ff-200d-1faef-200d-1f469-1f3fe
🤽	person playing water polo	1f93d
🤽🏻	person playing water polo: light skin tone	1f93d-1f3fb
🤽🏼	person playing water polo: medium-light skin tone	1f93d-1f3fc
🤽🏽	person playing water polo: medium skin tone	1f93d-1f3fd
🤽🏾	person playing water polo: medium-dark skin tone	1f93d-1f3fe
🤽🏿	person playing water polo: dark skin tone	1f93d-1f3ff
🤽‍♂️	man playing water polo	1f93d-200d-2642-fe0f
🤽🏻‍♂️	man playing water polo: light skin tone	1f93d-1f3fb-200d-2642-fe0f
🤽🏼‍♂️	man playing water polo: medium-light skin tone	1f93d-1f3fc-200d-2642-fe0f
🤽🏽‍♂️	man playing water polo: medium skin tone	1f93d-1f3fd-200d-2642-fe0f
🤽🏾‍♂️	man playing water polo: medium-dark skin tone	1f93d-1f3fe-200d-2642-fe0f
🤽🏿‍♂️	man playing water polo: dark skin tone	1f93d-1f3ff-200d-2642-fe0f
🤽‍♀️	woman playing water polo	1f93d-200d-2640-fe0f
🤽🏻‍♀️	woman playing water polo: light skin tone	1f93d-1f3fb-200d-2640-fe0f
🤽🏼‍♀️	woman playing water polo: medium-light skin tone	1f93d-1f3fc-200d-2640-fe0f
🤽🏽‍♀️	woman playing water polo: medium skin tone	1f93d-1f3fd-200d-2640-fe0f
🤽🏾‍♀️	woman playing water polo: medium-dark skin tone	1f93d-1f3fe-200d-2640-fe0f
🤽🏿‍♀️	woman playing water polo: dark skin tone	1f93d-1f3ff-200d-2640-fe0f
🤾	person playing handball	1f93e
🤾🏻	person playing handball: light skin tone	1f93e-1f3fb
🤾🏼	person playing handball: medium-light skin tone	1f93e-1f3fc
🤾🏽	person playing handball: medium skin tone	1f93e-1f3fd
🤾🏾	person playing handball: medium-dark skin tone	1f93e-1f3fe
🤾🏿	person playing handball: dark skin tone	1f93e-1f3ff
🤾‍♂️	man playing handball	1f93e-200d-2642-fe0f
🤾🏻‍♂️	man playing handball: light skin tone	1f93e-1f3fb-200d-2642-fe0f
🤾🏼‍♂️	man playing handball: medium-light skin tone	1f93e-1f3fc-200d-2642-fe0f
🤾🏽‍♂️	man playing handball: medium skin tone	1f93e-1f3fd-200d-2642-fe0f
🤾🏾‍♂️	man playing handball: medium-dark skin tone	1f93e-1f3fe-200d-2642-fe0f
🤾🏿‍♂️	man playing handball: dark skin tone	1f93e-1f3ff-200d-2642-fe0f
🤾‍♀️	woman playing handball	1f93e-200d-2640-fe0f
🤾🏻‍♀️	woman playing handball: light skin tone	1f93e-1f3fb-200d-2640-fe0f
🤾🏼‍♀️	woman playing handball: medium-light skin tone	1f93e-1f3fc-200d-2640-fe0f
🤾🏽‍♀️	woman playing handball: medium skin tone	1f93e-1f3fd-200d-2640-fe0f
🤾🏾‍♀️	woman playing handball: medium-dark skin tone	1f93e-1f3fe-200d-2640-fe0f
🤾🏿‍♀️	woman playing handball: dark skin tone	1f93e-1f3ff-200d-2640-fe0f
🤹	person juggling	1f939
🤹🏻	person juggling: light skin tone	1f939-1f3fb
🤹🏼	person juggling: medium-light skin tone	1f939-1f3fc
🤹🏽	person juggling: medium skin tone	1f939-1f3fd
🤹🏾	person juggling: medium-dark skin tone	1f939-1f3fe
🤹🏿	person juggling: dark skin tone	1f939-1f3ff
🤹‍♂️	man juggling	1f939-200d-2642-fe0f
🤹🏻‍♂️	man juggling: light skin tone	1f939-1f3fb-200d-2642-fe0f
🤹🏼‍♂️	man juggling: medium-light skin tone	1f939-1f3fc-200d-2642-fe0f
🤹🏽‍♂️	man juggling: medium skin tone	1f939-1f3fd-200d-2642-fe0f
🤹🏾‍♂️	man juggling: medium-dark skin tone	1f939-1f3fe-200d-2642-fe0f
🤹🏿‍♂️	man juggling: dark skin tone	1f939-1f3ff-200d-2642-fe0f
🤹‍♀️	woman juggling	1f939-200d-2640-fe0f
🤹🏻‍♀️	woman juggling: light skin tone	1f939-1f3fb-200d-2640-fe0f
🤹🏼‍♀️	woman juggling: medium-light skin tone	1f939-1f3fc-200d-2640-fe0f
🤹🏽‍♀️	woman juggling: medium skin tone	1f939-1f3fd-200d-2640-fe0f
🤹🏾‍♀️	woman juggling: medium-dark skin tone	1f939-1f3fe-200d-2640-fe0f
🤹🏿‍♀️	woman juggling: dark skin tone	1f939-1f3ff-200d-2640-fe0f
🧘	person in lotus position	1f9d8
🧘🏻	person in lotus position: light skin tone	1f9d8-1f3fb
🧘🏼	person in lotus position: medium-light skin tone	1f9d8-1f3fc
🧘🏽	person in lotus position: medium skin tone	1f9d8-1f3fd
🧘🏾	person in lotus position: medium-dark skin tone	1f9d8-1f3fe
🧘🏿	person in lotus position: dark skin tone	1f9d8-1f3ff
🧘‍♂️	man in lotus position	1f9d8-200d-2642-fe0f
🧘🏻‍♂️	man in lotus position: light skin tone	1f9d8-1f3fb-200d-2642-fe0f
🧘🏼‍♂️	man in lotus position: medium-light skin tone	1f9d8-1f3fc-200d-2642-fe0f
🧘🏽‍♂️	man in lotus position: medium skin tone	1f9d8-1f3fd-200d-2642-fe0f
🧘🏾‍♂️	man in lotus position: medium-dark skin tone	1f9d8-1f3fe-200d-2642-fe0f
🧘🏿‍♂️	man in lotus position: dark skin tone	1f9d8-1f3ff-200d-2642-fe0f
🧘‍♀️	woman in lotus position	1f9d8-200d-2640-fe0f
🧘🏻‍♀️	woman in lotus position: light skin tone	1f9d8-1f3fb-200d-2640-fe0f
🧘🏼‍♀️	woman in lotus position: medium-light skin tone	1f9d8-1f3fc-200d-2640-fe0f
🧘🏽‍♀️	woman in lotus position: medium skin tone	1f9d8-1f3fd-200d-2640-fe0f
🧘🏾‍♀️	woman in lotus position: medium-dark skin tone	1f9d8-1f3fe-200d-2640-fe0f
🧘🏿‍♀️	woman in lotus position: dark skin tone	1f9d8-1f3ff-200d-2640-fe0f
🛀	person taking bath	1f6c0
🛀🏻	person taking bath: light skin tone	1f6c0-1f3fb
🛀🏼	person taking bath: medium-light skin tone	1f6c0-1f3fc
🛀🏽	person taking bath: medium skin tone	1f6c0-1f3fd
🛀🏾	person taking bath: medium-dark skin tone	1f6c0-1f3fe
🛀🏿	person taking bath: dark skin tone	1f6c0-1f3ff
🛌	person in bed	1f6cc
🛌🏻	person in bed: light skin tone	1f6cc-1f3fb
🛌🏼	person in bed: medium-light skin tone	1f6cc-1f3fc
🛌🏽	person in bed: medium skin tone	1f6cc-1f3fd
🛌🏾	person in bed: medium-dark skin tone	1f6cc-1f3fe
🛌🏿	person in bed: dark skin tone	1f6cc-1f3ff
🧑‍🤝‍🧑	people holding hands	1f9d1-200d-1f91d-200d-1f9d1
🧑🏻‍🤝‍🧑🏻	people holding hands: light skin tone	1f9d1-1f3fb-200d-1f91d-200d-1f9d1-1f3fb
🧑🏻‍🤝‍🧑🏼	people holding hands: light skin tone, medium-light skin tone	1f9d1-1f3fb-200d-1f91d-200d-1f9d1-1f3fc
🧑🏻‍🤝‍🧑🏽	people holding hands: light skin tone, medium skin tone	1f9d1-1f3fb-200d-1f91d-200d-1f9d1-1f3fd
🧑🏻‍🤝‍🧑🏾	people holding hands: light skin tone, medium-dark skin tone	1f9d1-1f3fb-200d-1f91d-200d-1f9d1-1f3fe
🧑🏻‍🤝‍🧑🏿	people holding hands: light skin tone, dark skin tone	1f9d1-1f3fb-200d-1f91d-200d-1f9d1-1f3ff
🧑🏼‍🤝‍🧑🏻	people holding hands: medium-light skin tone, light skin tone	1f9d1-1f3fc-200d-1f91d-200d-1f9d1-1f3fb
🧑🏼‍🤝‍🧑🏼	people holding hands: medium-light skin tone	1f9d1-1f3fc-200d-1f91d-200d-1f9d1-1f3fc
🧑🏼‍🤝‍🧑🏽	people holding hands: medium-light skin tone, medium skin tone	1f9d1-1f3fc-200d-1f91d-200d-1f9d1-1f3fd
🧑🏼‍🤝‍🧑🏾	people holding hands: medium-light skin tone, medium-dark skin tone	1f9d1-1f3fc-200d-1f91d-200d-1f9d1-1f3fe
🧑🏼‍🤝‍🧑🏿	people holding hands: medium-light skin tone, dark skin tone	1f9d1-1f3fc-200d-1f91d-200d-1f9d1-1f3ff
🧑🏽‍🤝‍🧑🏻	people holding hands: medium skin tone, light skin tone	1f9d1-1f3fd-200d-1f91d-200d-1f9d1-1f3fb
🧑🏽‍🤝‍🧑🏼	people holding hands: medium skin tone, medium-light skin tone	1f9d1-1f3fd-200d-1f91d-200d-1f9d1-1f3fc
🧑🏽‍🤝‍🧑🏽	people holding hands: medium skin tone	1f9d1-1f3fd-200d-1f91d-200d-1f9d1-1f3fd
🧑🏽‍🤝‍🧑🏾	people holding hands: medium skin tone, medium-dark skin tone	1f9d1-1f3fd-200d-1f91d-200d-1f9d1-1f3fe
🧑🏽‍🤝‍🧑🏿	people holding hands: medium skin tone, dark skin tone	1f9d1-1f3fd-200d-1f91d-200d-1f9d1-1f3ff
🧑🏾‍🤝‍🧑🏻	people holding hands: medium-dark skin tone, light skin tone	1f9d1-1f3fe-200d-1f91d-200d-1f9d1-1f3fb
🧑🏾‍🤝‍🧑🏼	people holding hands: medium-dark skin tone, medium-light skin tone	1f9d1-1f3fe-200d-1f91d-200d-1f9d1-1f3fc
🧑🏾‍🤝‍🧑🏽	people holding hands: medium-dark skin tone, medium skin tone	1f9d1-1f3fe-200d-1f91d-200d-1f9d1-1f3fd
🧑🏾‍🤝‍🧑🏾	people holding hands: medium-dark skin tone	1f9d1-1f3fe-200d-1f91d-200d-1f9d1-1f3fe
🧑🏾‍🤝‍🧑🏿	people holding hands: medium-dark skin tone, dark skin tone	1f9d1-1f3fe-200d-1f91d-200d-1f9d1-1f3ff
🧑🏿‍🤝‍🧑🏻	people holding hands: dark skin tone, light skin tone	1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fb
🧑🏿‍🤝‍🧑🏼	people holding hands: dark skin tone, medium-light skin tone	1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fc
🧑🏿‍🤝‍🧑🏽	people holding hands: dark skin tone, medium skin tone	1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fd
🧑🏿‍🤝‍🧑🏾	people holding hands: dark skin tone, medium-dark skin tone	1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fe
🧑🏿‍🤝‍🧑🏿	people holding hands: dark skin tone	1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3ff
👭	women holding hands	1f46d
👭🏻	women holding hands: light skin tone	1f46d-1f3fb
👩🏻‍🤝‍👩🏼	women holding hands: light skin tone, medium-light skin tone	1f469-1f3fb-200d-1f91d-200d-1f469-1f3fc
👩🏻‍🤝‍👩🏽	women holding hands: light skin tone, medium skin tone	1f469-1f3fb-200d-1f91d-200d-1f469-1f3fd
👩🏻‍🤝‍👩🏾	women holding hands: light skin tone, medium-dark skin tone	1f469-1f3fb-200d-1f91d-200d-1f469-1f3fe
👩🏻‍🤝‍👩🏿	women holding hands: light skin tone, dark skin tone	1f469-1f3fb-200d-1f91d-200d-1f469-1f3ff
👩🏼‍🤝‍👩🏻	women holding hands: medium-light skin tone, light skin tone	1f469-1f3fc-200d-1f91d-200d-1f469-1f3fb
👭🏼	women holding hands: medium-light skin tone	1f46d-1f3fc
👩🏼‍🤝‍👩🏽	women holding hands: medium-light skin tone, medium skin tone	1f469-1f3fc-200d-1f91d-200d-1f469-1f3fd
👩🏼‍🤝‍👩🏾	women holding hands: medium-light skin tone, medium-dark skin tone	1f469-1f3fc-200d-1f91d-200d-1f469-1f3fe
👩🏼‍🤝‍👩🏿	women holding hands: medium-light skin tone, dark skin tone	1f469-1f3fc-200d-1f91d-200d-1f469-1f3ff
👩🏽‍🤝‍👩🏻	women holding hands: medium skin tone, light skin tone	1f469-1f3fd-200d-1f91d-200d-1f469-1f3fb
👩🏽‍🤝‍👩🏼	women holding hands: medium skin tone, medium-light skin tone	1f469-1f3fd-200d-1f91d-200d-1f469-1f3fc
👭🏽	women holding hands: medium skin tone	1f46d-1f3fd
👩🏽‍🤝‍👩🏾	women holding hands: medium skin tone, medium-dark skin tone	1f469-1f3fd-200d-1f91d-200d-1f469-1f3fe
👩🏽‍🤝‍👩🏿	women holding hands: medium skin tone, dark skin tone	1f469-1f3fd-200d-1f91d-200d-1f469-1f3ff
👩🏾‍🤝‍👩🏻	women holding hands: medium-dark skin tone, light skin tone	1f469-1f3fe-200d-1f91d-200d-1f469-1f3fb
👩🏾‍🤝‍👩🏼	women holding hands: medium-dark skin tone, medium-light skin tone	1f469-1f3fe-200d-1f91d-200d-1f469-1f3fc
👩🏾‍🤝‍👩🏽	women holding hands: medium-dark skin tone, medium skin tone	1f469-1f3fe-200d-1f91d-200d-1f469-1f3fd
👭🏾	women holding hands: medium-dark skin tone	1f46d-1f3fe
👩🏾‍🤝‍👩🏿	women holding hands: medium-dark skin tone, dark skin tone	1f469-1f3fe-200d-1f91d-200d-1f469-1f3ff
👩🏿‍🤝‍👩🏻	women holding hands: dark skin tone, light skin tone	1f469-1f3ff-200d-1f91d-200d-1f469-1f3fb
👩🏿‍🤝‍👩🏼	women holding hands: dark skin tone, medium-light skin tone	1f469-1f3ff-200d-1f91d-200d-1f469-1f3fc
👩🏿‍🤝‍👩🏽	women holding hands: dark skin tone, medium skin tone	1f469-1f3ff-200d-1f91d-200d-1f469-1f3fd
👩🏿‍🤝‍👩🏾	women holding hands: dark skin tone, medium-dark skin tone	1f469-1f3ff-200d-1f91d-200d-1f469-1f3fe
👭🏿	women holding hands: dark skin tone	1f46d-1f3ff
👫	woman and man holding hands	1f46b
👫🏻	woman and man holding hands: light skin tone	1f46b-1f3fb
👩🏻‍🤝‍👨🏼	woman and man holding hands: light skin tone, medium-light skin tone	1f469-1f3fb-200d-1f91d-200d-1f468-1f3fc
👩🏻‍🤝‍👨🏽	woman and man holding hands: light skin tone, medium skin tone	1f469-1f3fb-200d-1f91d-200d-1f468-1f3fd
👩🏻‍🤝‍👨🏾	woman and man holding hands: light skin tone, medium-dark skin tone	1f469-1f3fb-200d-1f91d-200d-1f468-1f3fe
👩🏻‍🤝‍👨🏿	woman and man holding hands: light skin tone, dark skin tone	1f469-1f3fb-200d-1f91d-200d-1f468-1f3ff
👩🏼‍🤝‍👨🏻	woman and man holding hands: medium-light skin tone, light skin tone	1f469-1f3fc-200d-1f91d-200d-1f468-1f3fb
👫🏼	woman and man holding hands: medium-light skin tone	1f46b-1f3fc
👩🏼‍🤝‍👨🏽	woman and man holding hands: medium-light skin tone, medium skin tone	1f469-1f3fc-200d-1f91d-200d-1f468-1f3fd
👩🏼‍🤝‍👨🏾	woman and man holding hands: medium-light skin tone, medium-dark skin tone	1f469-1f3fc-200d-1f91d-200d-1f468-1f3fe
👩🏼‍🤝‍👨🏿	woman and man holding hands: medium-light skin tone, dark skin tone	1f469-1f3fc-200d-1f91d-200d-1f468-1f3ff
👩🏽‍🤝‍👨🏻	woman and man holding hands: medium skin tone, light skin tone	1f469-1f3fd-200d-1f91d-200d-1f468-1f3fb
👩🏽‍🤝‍👨🏼	woman and man holding hands: medium skin tone, medium-light skin tone	1f469-1f3fd-200d-1f91d-200d-1f468-1f3fc
👫🏽	woman and man holding hands: medium skin tone	1f46b-1f3fd
👩🏽‍🤝‍👨🏾	woman and man holding hands: medium skin tone, medium-dark skin tone	1f469-1f3fd-200d-1f91d-200d-1f468-1f3fe
👩🏽‍🤝‍👨🏿	woman and man holding hands: medium skin tone, dark skin tone	1f469-1f3fd-200d-1f91d-200d-1f468-1f3ff
👩🏾‍🤝‍👨🏻	woman and man holding hands: medium-dark skin tone, light skin tone	1f469-1f3fe-200d-1f91d-200d-1f468-1f3fb
👩🏾‍🤝‍👨🏼	woman and man holding hands: medium-dark skin tone, medium-light skin tone	1f469-1f3fe-200d-1f91d-200d-1f468-1f3fc
👩🏾‍🤝‍👨🏽	woman and man holding hands: medium-dark skin tone, medium skin tone	1f469-1f3fe-200d-1f91d-200d-1f468-1f3fd
👫🏾	woman and man holding hands: medium-dark skin tone	1f46b-1f3fe
👩🏾‍🤝‍👨🏿	woman and man holding hands: medium-dark skin tone, dark skin tone	1f469-1f3fe-200d-1f91d-200d-1f468-1f3ff
👩🏿‍🤝‍👨🏻	woman and man holding hands: dark skin tone, light skin tone	1f469-1f3ff-200d-1f91d-200d-1f468-1f3fb
👩🏿‍🤝‍👨🏼	woman and man holding hands: dark skin tone, medium-light skin tone	1f469-1f3ff-200d-1f91d-200d-1f468-1f3fc
👩🏿‍🤝‍👨🏽	woman and man holding hands: dark skin tone, medium skin tone	1f469-1f3ff-200d-1f91d-200d-1f468-1f3fd
👩🏿‍🤝‍👨🏾	woman and man holding hands: dark skin tone, medium-dark skin tone	1f469-1f3ff-200d-1f91d-200d-1f468-1f3fe
👫🏿	woman and man holding hands: dark skin tone	1f46b-1f3ff
👬	men holding hands	1f46c
👬🏻	men holding hands: light skin tone	1f46c-1f3fb
👨🏻‍🤝‍👨🏼	men holding hands: light skin tone, medium-light skin tone	1f468-1f3fb-200d-1f91d-200d-1f468-1f3fc
👨🏻‍🤝‍👨🏽	men holding hands: light skin tone, medium skin tone	1f468-1f3fb-200d-1f91d-200d-1f468-1f3fd
👨🏻‍🤝‍👨🏾	men holding hands: light skin tone, medium-dark skin tone	1f468-1f3fb-200d-1f91d-200d-1f468-1f3fe
👨🏻‍🤝‍👨🏿	men holding hands: light skin tone, dark skin tone	1f468-1f3fb-200d-1f91d-200d-1f468-1f3ff
👨🏼‍🤝‍👨🏻	men holding hands: medium-light skin tone, light skin tone	1f468-1f3fc-200d-1f91d-200d-1f468-1f3fb
👬🏼	men holding hands: medium-light skin tone	1f46c-1f3fc
👨🏼‍🤝‍👨🏽	men holding hands: medium-light skin tone, medium skin tone	1f468-1f3fc-200d-1f91d-200d-1f468-1f3fd
👨🏼‍🤝‍👨🏾	men holding hands: medium-light skin tone, medium-dark skin tone	1f468-1f3fc-200d-1f91d-200d-1f468-1f3fe
👨🏼‍🤝‍👨🏿	men holding hands: medium-light skin tone, dark skin tone	1f468-1f3fc-200d-1f91d-200d-1f468-1f3ff
👨🏽‍🤝‍👨🏻	men holding hands: medium skin tone, light skin tone	1f468-1f3fd-200d-1f91d-200d-1f468-1f3fb
